M Amarnath,INDIA,1975,1989,85,75,12,1924,102,30.53,3334,57.7,2,13,2
KLT Arthurton,WI,1988,1999,105,93,20,1904,84,26.08,2822,67.46,0,9,12
SE Marsh,AUS,2008,2017,53,52,2,1896,151,37.92,2442,77.64,3,12,3
Imran Nazir,PAK,1999,2009,79,79,2,1895,160,24.61,2339,81.01,2,9,10
RA Jadeja,INDIA,2009,2017,129,90,31,1888,87,32,2207,85.54,0,10,5
Mohsin Khan,PAK,1977,1986,75,75,5,1877,117,26.81,3373,55.64,2,8,3
JV Coney,NZ,1979,1987,88,80,19,1874,66,30.72,2885,64.95,0,8,1
Imrul Kayes,BDESH,2008,2016,65,65,1,1873,112,29.26,2779,67.39,2,13,1
DJG Sammy,WI,2004,2015,126,105,30,1871,89,24.94,1870,100.05,0,9,4
RD Jacobs,WI,1996,2004,147,112,32,1865,80,23.31,2662,70.06,0,9,11
M Prabhakar,INDIA,1984,1996,130,98,21,1858,106,24.12,3083,60.26,2,11,8
OA Shah,ENG,2001,2009,71,66,6,1834,107,30.56,2331,78.67,1,12,6
MW Goodwin,ZIM,1998,2000,71,70,3,1818,112,27.13,2654,68.5,2,8,1
Khaled Mashud,BDESH,1995,2006,126,110,27,1818,71,21.9,3315,54.84,0,7,8
BA Edgar,NZ,1978,1986,64,64,5,1814,102,30.74,3685,49.22,1,10,3
Mohammad Nabi,AFG,2009,2017,75,69,7,1800,116,29.03,2061,87.33,1,9,4
DJ Hussey,AUS,2008,2013,69,61,6,1796,111,32.65,1980,90.7,1,14,4
MA Atherton,ENG,1990,1998,54,54,3,1791,127,35.11,3054,58.64,2,12,4
Mohammad Shahzad,AFG,2009,2017,53,53,2,1770,131,34.7,1961,90.26,4,8,2
IA Healy,AUS,1988,1997,168,120,36,1764,56,21,2104,83.84,0,4,9
Sir RJ Hadlee,NZ,1973,1990,115,98,17,1751,79,21.61,2319,75.5,0,4,4
MS Wade,AUS,2012,2017,87,75,10,1741,100,26.78,2122,82.04,1,10,5
Imran Farhat,PAK,2001,2013,58,58,2,1719,107,30.69,2489,69.06,1,13,3
CB Wishart,ZIM,1996,2005,90,82,8,1719,172,23.22,2436,70.56,2,5,8
Rashid Latif,PAK,1992,2003,166,117,29,1709,79,19.42,2237,76.39,0,3,8
DA Gunawardene,SL,1998,2006,61,61,1,1708,132,28.46,2389,71.49,1,12,5
