MS Kasprowicz,AUS,1995,2005,43,42,2225,1674,67,5/45,24.98,4.51,33.2,1,2
Khaled Mahmud,BDESH,1998,2006,77,75,3385,2865,67,4/19,42.76,5.07,50.5,1,0
C Sharma,INDIA,1983,1994,65,63,2835,2336,67,3/22,34.86,4.94,42.3,0,0
DT Johnston,IRE,2006,2013,67,63,2930,2115,66,5/14,32.04,4.33,44.3,1,1
CC Lewis,ENG,1990,1998,53,49,2625,1942,66,4/30,29.42,4.43,39.7,4,0
Maninder Singh,INDIA,1983,1993,59,57,3133,2066,66,4/22,31.3,3.95,47.4,1,0
T Panyangara,ZIM,2004,2016,65,65,3242,3024,65,3/28,46.52,5.59,49.8,0,0
C White,ENG,1994,2003,51,50,2364,1726,65,5/21,26.55,4.38,36.3,1,1
GH Dockrell,IRE,2010,2017,57,55,2740,2029,64,4/24,31.7,4.44,42.8,3,0
A Mishra,INDIA,2003,2016,36,34,1917,1511,64,6/48,23.6,4.72,29.9,2,2
DJ Nash,NZ,1992,2002,81,78,3416,2622,64,4/38,40.96,4.6,53.3,1,0
AD Russell,WI,2011,2015,51,50,2122,2066,64,4/35,32.28,5.84,33.1,5,0
AR Cusack,IRE,2007,2015,59,52,1953,1510,63,5/20,23.96,4.63,31,1,1
JP Duminy,SA,2004,2017,172,115,3045,2700,63,4/16,42.85,5.32,48.3,1,0
NM Hauritz,AUS,2002,2011,58,56,2724,2152,63,4/29,34.15,4.74,43.2,2,0
NL McCullum,NZ,2009,2015,84,81,3536,2956,63,3/24,46.92,5.01,56.1,0,0
AD Mullally,ENG,1996,2001,50,49,2699,1728,63,4/18,27.42,3.84,42.8,2,0
SLV Raju,INDIA,1990,1996,53,52,2770,2014,63,4/46,31.96,4.36,43.9,2,0
BA Reid,AUS,1986,1992,61,61,3250,2203,63,5/53,34.96,4.06,51.5,0,1
Sarfraz Nawaz,PAK,1973,1984,45,45,2412,1463,63,4/27,23.22,3.63,38.2,4,0
Shafiul Islam,BDESH,2010,2016,56,56,2342,2294,63,4/21,36.41,5.87,37.1,4,0
DE Bollinger,AUS,2009,2011,39,39,1942,1482,62,5/35,23.9,4.57,31.3,3,2
SW Tait,AUS,2007,2011,35,34,1688,1461,62,4/39,23.56,5.19,27.2,2,0
